event_id,event_name,event_date,event_type,event_selection_note,junior_ministers_pre_event,sos_changed_rows,strict_moved_rows,loose_moved_rows
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,63,9,17,17
derived-ordinary-002,Derived ordinary reshuffle cluster (1981-09-14),1981-09-14,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,63,25,21,20
derived-ordinary-003,Derived ordinary reshuffle cluster (1982-04-05),1982-04-05,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,64,7,7,7
74cc5fe5-bff5-4908-ad43-fae6885a4ba7,1983 general election,1983-06-09,election_formation,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",65,35,40,34
derived-ordinary-004,Derived ordinary reshuffle cluster (1983-10-14),1983-10-14,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,60,11,5,3
derived-ordinary-005,Derived ordinary reshuffle cluster (1985-09-02),1985-09-02,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,66,27,22,20
derived-ordinary-006,Derived ordinary reshuffle cluster (1986-05-21),1986-05-21,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,66,13,3,2
0c4019b7-f34c-49e8-b3eb-f40f0eb49254,1987 general election,1987-06-11,election_formation,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",66,30,37,34
derived-ordinary-007,Derived ordinary reshuffle cluster (1988-07-25),1988-07-25,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,64,4,17,14
derived-ordinary-008,Derived ordinary reshuffle cluster (1989-07-24),1989-07-24,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 11.,65,43,29,26
derived-ordinary-009,Derived ordinary reshuffle cluster (1989-10-26),1989-10-26,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,65,14,3,3
