event_id,event_name,event_date,event_year,event_type,event_source,event_selection_note,window_days,pre_event_date,window_end_date,person_id,person_name,original_appointment_id,original_post_id,original_post_name,original_rank_equivalence,original_cabinet_status,original_organisation_id,original_organisation_name,original_organisation_short_name,sos_changed_in_original_department,sos_change_detail,technical_economic_department_or_brief,strict_moved_out,loose_moved_out,loose_moved_out_including_ambiguous,outcome_code,outcome_label,same_post_group_after,mog_link_types,final_appointment_id,final_post_id,final_post_name,final_rank_equivalence,final_organisation_id,final_organisation_name,final_cabinet_status,stayed_in_original_role,split_outcome_code,split_outcome_label,promoted_split,sideways_split,left_or_no_better_split
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,6dc90019-3fb0-4093-8d05-241e82149176,Douglas Hurd,cc6a4c96-fca9-4f85-bd93-02f458dfa444,70b67c5f-9c19-403d-b313-579153340aab,"Minister of State, FCO",MoS,Non-cabinet,33a2ae61-e756-40ca-96da-c708a022b702,Foreign and Commonwealth Office,FCO,False,head_before=e21c5787-b4bf-427e-8951-c4b11dfe8d13; head_after=e21c5787-b4bf-427e-8951-c4b11dfe8d13; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,cc6a4c96-fca9-4f85-bd93-02f458dfa444,70b67c5f-9c19-403d-b313-579153340aab,"Minister of State, FCO",MoS,33a2ae61-e756-40ca-96da-c708a022b702,Foreign and Commonwealth Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,c1b5c7b3-02ca-4418-b852-39218d8aa82f,Hector Monro,4dbb7ff5-1376-4a67-af17-070b7850c3fe,db42fb13-e4e2-4bfa-9321-80635990d74a,"Parliamentary Under-Secretary of State, DoEnv",PUSS,Non-cabinet,1e0fa784-24ff-4194-bdeb-8729c147a40b,Department of the Environment,DoEnv,False,head_before=d6b2e3a5-9e45-4965-82a9-94a26b3bdc80; head_after=d6b2e3a5-9e45-4965-82a9-94a26b3bdc80; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,4dbb7ff5-1376-4a67-af17-070b7850c3fe,db42fb13-e4e2-4bfa-9321-80635990d74a,"Parliamentary Under-Secretary of State, DoEnv",PUSS,1e0fa784-24ff-4194-bdeb-8729c147a40b,Department of the Environment,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,06e2b18e-dd69-4e05-8ed7-dcf295039f3c,Neil Marten,73c8cfe5-aa2b-4452-9356-0aab92a80ab4,3f794bc9-3e5f-43e2-948f-32e40804fb69,Minister for Overseas Development,MoS,Non-cabinet,33a2ae61-e756-40ca-96da-c708a022b702,Foreign and Commonwealth Office,FCO,False,head_before=e21c5787-b4bf-427e-8951-c4b11dfe8d13; head_after=e21c5787-b4bf-427e-8951-c4b11dfe8d13; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,73c8cfe5-aa2b-4452-9356-0aab92a80ab4,3f794bc9-3e5f-43e2-948f-32e40804fb69,Minister for Overseas Development,MoS,33a2ae61-e756-40ca-96da-c708a022b702,Foreign and Commonwealth Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,c46815cb-8972-4455-bc1b-ea201caca841,Hamish Gray,b599963a-e0fe-4d44-8468-174a8ad82721,1575b0c4-7c82-4c60-9e72-0c32f2d906be,"Minister of State, DoE",MoS,Non-cabinet,b68a3cb1-c1da-46ac-b587-7e4fbc200601,Department of Energy,DoE,False,head_before=af9d5621-6eea-4fb4-b2b3-4e227dd44dcd; head_after=af9d5621-6eea-4fb4-b2b3-4e227dd44dcd; compared_org_count=1,True,False,False,False,A,Stayed in exactly the same role and department,True,,b599963a-e0fe-4d44-8468-174a8ad82721,1575b0c4-7c82-4c60-9e72-0c32f2d906be,"Minister of State, DoE",MoS,b68a3cb1-c1da-46ac-b587-7e4fbc200601,Department of Energy,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,0510d177-83c2-425a-b998-2112e5e4c647,Jerry Wiggin,346da026-b245-43c1-b0dc-17d44194cdfd,8de14f71-9ed3-437c-96d9-bc351aa53c56,"Parliamentary Secretary, MAFF",PUSS,Non-cabinet,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,False,head_before=6219ca5a-724a-45ad-9c63-4fecb3d765d7; head_after=6219ca5a-724a-45ad-9c63-4fecb3d765d7; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,346da026-b245-43c1-b0dc-17d44194cdfd,8de14f71-9ed3-437c-96d9-bc351aa53c56,"Parliamentary Secretary, MAFF",PUSS,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,3ed7ce8a-1eec-4817-a30d-5f3846583faa,Alick Buchanan-Smith,b6865f60-f6ef-490a-acb9-1c91eb600b13,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,Non-cabinet,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,False,head_before=6219ca5a-724a-45ad-9c63-4fecb3d765d7; head_after=6219ca5a-724a-45ad-9c63-4fecb3d765d7; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,b6865f60-f6ef-490a-acb9-1c91eb600b13,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,9f643dcf-0288-4d82-8fb3-347c8ac8d48a,Lord Belstead,4a1fe060-7497-4917-9aec-23c1c5883121,1cadc026-8b72-4c56-a0fe-28394111b49d,"Parliamentary Under-Secretary of State, HO",PUSS,Non-cabinet,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,HO,False,head_before=3ee85e79-b200-4a13-8670-7ebf0e5e17ba; head_after=3ee85e79-b200-4a13-8670-7ebf0e5e17ba; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,4a1fe060-7497-4917-9aec-23c1c5883121,1cadc026-8b72-4c56-a0fe-28394111b49d,"Parliamentary Under-Secretary of State, HO",PUSS,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,0b0eaa95-7245-4c79-b121-6dae2ffb529b,Earl Ferrers,671cd5f1-3fcc-479a-9649-2807fe03a5cf,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,Non-cabinet,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,False,head_before=6219ca5a-724a-45ad-9c63-4fecb3d765d7; head_after=6219ca5a-724a-45ad-9c63-4fecb3d765d7; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,671cd5f1-3fcc-479a-9649-2807fe03a5cf,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,a48952e9-9681-48c5-8be8-9a9387f29f8c,Keith Speed,72b6cf81-6676-4427-ae95-2dc1e610d8be,73e4e0a2-3f5b-4194-9388-272b4781bde4,"Parliamentary Under-Secretary of State, MoD",PUSS,Non-cabinet,64430280-1188-4c44-9b01-590cab80e2e9,Ministry of Defence,MoD,True,head_before=9fa12520-539c-406e-bddd-d45c081af06e; head_after=0cf9ca6e-8780-4ae4-acb8-48c865c9a2a3; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,72b6cf81-6676-4427-ae95-2dc1e610d8be,73e4e0a2-3f5b-4194-9388-272b4781bde4,"Parliamentary Under-Secretary of State, MoD",PUSS,64430280-1188-4c44-9b01-590cab80e2e9,Ministry of Defence,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,1981,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1981-01-04,1981-01-19,765b46c8-c1ba-4e0b-b479-36f401448825,David Mitchell,d41a74e5-6ef0-469e-af19-33859fceff8c,da82d99b-6483-4b1f-a9dc-fbd2fae8c2d8,"Parliamentary Under-Secretary of State, DoI",PUSS,Non-cabinet,f66a7d9f-05a2-4ad0-954d-54cf83a6b041,Department of Industry,DoI,False,head_before=8fec6cd0-fe56-4d36-91c8-a16bf926a2de; head_after=8fec6cd0-fe56-4d36-91c8-a16bf926a2de; compared_org_count=1,True,True,True,True,C,Moved to another department,False,,1cb72d74-4b53-4832-985d-1d02b6f329da,096f4cfe-eca7-4118-960d-6c7b71dcb72e,"Parliamentary Under-Secretary of State, NIO",PUSS,a2f8cb74-0c99-42f2-99d5-bea2fc2b78f8,Northern Ireland Office,Non-cabinet,False,sideways_move,Moved sideways,False,True,False
