window_days,sos_changed_in_original_department,split_outcome_code,n,denominator,pct,sample
14,False,left_or_no_better_role,261,2328,11.211340206185568,all_events
14,False,promoted,204,2328,8.762886597938143,all_events
14,False,sideways_move,251,2328,10.781786941580757,all_events
14,False,stayed_original_role,1612,2328,69.24398625429554,all_events
14,True,left_or_no_better_role,522,1586,32.91298865069357,all_events
14,True,promoted,211,1586,13.30390920554855,all_events
14,True,sideways_move,283,1586,17.843631778058008,all_events
14,True,stayed_original_role,570,1586,35.93947036569987,all_events
14,False,left_or_no_better_role,25,112,22.321428571428573,new_pm_reshuffles
14,False,promoted,10,112,8.928571428571429,new_pm_reshuffles
14,False,sideways_move,14,112,12.5,new_pm_reshuffles
14,False,stayed_original_role,63,112,56.25,new_pm_reshuffles
14,True,left_or_no_better_role,102,349,29.22636103151863,new_pm_reshuffles
14,True,promoted,61,349,17.478510028653297,new_pm_reshuffles
14,True,sideways_move,81,349,23.20916905444126,new_pm_reshuffles
14,True,stayed_original_role,105,349,30.08595988538682,new_pm_reshuffles
14,False,left_or_no_better_role,176,1974,8.915906788247213,excluding_elections
14,False,promoted,168,1974,8.51063829787234,excluding_elections
14,False,sideways_move,195,1974,9.878419452887538,excluding_elections
14,False,stayed_original_role,1435,1974,72.69503546099291,excluding_elections
14,True,left_or_no_better_role,204,1096,18.613138686131386,excluding_elections
14,True,promoted,165,1096,15.054744525547445,excluding_elections
14,True,sideways_move,220,1096,20.072992700729927,excluding_elections
14,True,stayed_original_role,507,1096,46.25912408759124,excluding_elections
14,False,left_or_no_better_role,54,387,13.953488372093023,technical_economic
14,False,promoted,27,387,6.976744186046512,technical_economic
14,False,sideways_move,52,387,13.436692506459949,technical_economic
14,False,stayed_original_role,254,387,65.63307493540051,technical_economic
14,True,left_or_no_better_role,116,317,36.59305993690852,technical_economic
14,True,promoted,38,317,11.987381703470032,technical_economic
14,True,sideways_move,60,317,18.92744479495268,technical_economic
14,True,stayed_original_role,103,317,32.49211356466877,technical_economic
