window_days,outcome_definition,sos_changed_moved_n,sos_changed_denominator,sos_changed_pct,sos_stayed_moved_n,sos_stayed_denominator,sos_stayed_pct,difference_pp,relative_risk,odds_ratio,sample
7,strict_moved_out,953,1518,62.77997364953887,666,2396,27.79632721202003,34.983646437518836,2.258570823788215,4.37783650156571,all_events
14,strict_moved_out,1016,1586,64.06052963430012,716,2328,30.756013745704468,33.30451588859565,2.082861913249311,4.009915886518663,all_events
21,strict_moved_out,1022,1586,64.43883984867591,719,2328,30.884879725085913,33.55396012359,2.0864202944049723,4.0519077870605695,all_events
7,strict_moved_out,527,1028,51.264591439688715,492,2042,24.094025465230168,27.170565974458544,2.1276889373952104,3.3114413105860083,excluding_elections
14,strict_moved_out,589,1096,53.74087591240876,539,1974,27.30496453900709,26.435911373401666,1.9681723386102947,3.090718919634582,excluding_elections
21,strict_moved_out,595,1096,54.28832116788321,542,1974,27.456940222897668,26.831380944985543,1.977216715597813,3.135492141088256,excluding_elections
7,loose_moved_out,835,1518,55.006587615283266,561,2396,23.414023372287147,31.59256424299612,2.34930096125167,3.9958811601019057,all_events
14,loose_moved_out,879,1586,55.42244640605296,591,2328,25.386597938144327,30.035848467908632,2.18313799041102,3.6515685999241314,all_events
21,loose_moved_out,881,1586,55.5485498108449,594,2328,25.51546391752577,30.03308589331912,2.1770542754149314,3.645421442361739,all_events
7,loose_moved_out,438,1028,42.60700389105058,406,2042,19.882468168462292,22.72453572258829,2.1429433976730365,2.9895454161992934,excluding_elections
14,loose_moved_out,481,1096,43.886861313868614,435,1974,22.036474164133736,21.850387149734875,1.9915554996224516,2.7654115226529354,excluding_elections
21,loose_moved_out,483,1096,44.06934306569343,438,1974,22.188449848024316,21.88089321766911,1.9861388861113887,2.7614989234061813,excluding_elections
